epoc_time,date_time,distance,velocity
1456267818139,2016-02-23T22:50:18.139Z,4.6324024571,0.24
1456267818454,2016-02-23T22:50:18.454Z,3.77198158101,0
1456267818900,2016-02-23T22:50:18.900Z,2.10934976781,0.25
1456267819135,2016-02-23T22:50:19.135Z,4.6324024571,0.24
1456267819455,2016-02-23T22:50:19.455Z,3.77198158101,0
1456267819924,2016-02-23T22:50:19.924Z,2.10934976781,0.23
1456267820148,2016-02-23T22:50:20.148Z,4.6324024571,0.24
1456267820460,2016-02-23T22:50:20.460Z,3.77198158101,0
1456267820937,2016-02-23T22:50:20.937Z,2.10934976781,0.02
1456267821126,2016-02-23T22:50:21.126Z,4.6324024571,0.07
1456267821456,2016-02-23T22:50:21.456Z,3.77198158101,0
1456267821934,2016-02-23T22:50:21.934Z,2.10934976781,0
1456267822165,2016-02-23T22:50:22.165Z,5.32547574483,0.23
1456267822428,2016-02-23T22:50:22.428Z,3.77198158101,0
1456267822934,2016-02-23T22:50:22.934Z,2.10934976781,0
1456267823125,2016-02-23T22:50:23.125Z,4.63583215934,0.25
1456267823446,2016-02-23T22:50:23.446Z,2.19513296682,0.24
1456267823931,2016-02-23T22:50:23.931Z,2.0148479696,0.24
1456267824135,2016-02-23T22:50:24.135Z,5.32547574483,0.24
1456267824454,2016-02-23T22:50:24.454Z,3.29212711558,0.24
1456267824927,2016-02-23T22:50:24.927Z,2.0148479696,0.24
1456267825135,2016-02-23T22:50:25.135Z,5.20400840738,0.24
1456267825440,2016-02-23T22:50:25.440Z,3.29212711558,0.04
1456267825904,2016-02-23T22:50:25.904Z,2.10934976781,0.25
1456267826147,2016-02-23T22:50:26.147Z,5.20400840738,0.24
1456267826469,2016-02-23T22:50:26.469Z,3.93291864217,0.23
1456267826926,2016-02-23T22:50:26.926Z,2.10934976781,0.23
1456267827157,2016-02-23T22:50:27.157Z,5.20400840738,0.24
1456267827457,2016-02-23T22:50:27.457Z,3.93291864217,0.24
1456267827925,2016-02-23T22:50:27.925Z,2.0148479696,0.24
1456267828146,2016-02-23T22:50:28.146Z,5.20400840738,0.24
1456267828438,2016-02-23T22:50:28.438Z,3.93291864217,0.23
1456267828911,2016-02-23T22:50:28.911Z,2.0148479696,0.24
1456267829124,2016-02-23T22:50:29.124Z,5.20400840738,0.25
1456267829477,2016-02-23T22:50:29.477Z,3.47535680809,0.23
1456267829926,2016-02-23T22:50:29.926Z,2.0148479696,0.02
1456267830153,2016-02-23T22:50:30.153Z,5.20400840738,0.23
1456267830463,2016-02-23T22:50:30.463Z,3.47535680809,0.24
1456267830930,2016-02-23T22:50:30.930Z,2.0148479696,0
1456267831147,2016-02-23T22:50:31.147Z,5.20400840738,0.24
1456267831468,2016-02-23T22:50:31.468Z,2.81928303701,0.24
1456267831934,2016-02-23T22:50:31.934Z,2.0148479696,0
1456267832142,2016-02-23T22:50:32.142Z,4.88279627936,0.24
1456267832449,2016-02-23T22:50:32.449Z,3.47535680809,0.23
1456267832933,2016-02-23T22:50:32.933Z,2.0148479696,0
1456267833150,2016-02-23T22:50:33.150Z,4.88279627936,0.24
1456267833453,2016-02-23T22:50:33.453Z,3.93291864217,0.24
1456267833919,2016-02-23T22:50:33.919Z,2.0148479696,0
1456267834143,2016-02-23T22:50:34.143Z,5.97586410528,0.24
1456267834445,2016-02-23T22:50:34.445Z,3.93291864217,0.24
1456267834931,2016-02-23T22:50:34.931Z,2.0148479696,0
1456267835162,2016-02-23T22:50:35.162Z,5.97586410528,0.24
1456267835451,2016-02-23T22:50:35.451Z,3.93291864217,0.02
1456267835932,2016-02-23T22:50:35.932Z,2.0148479696,0
1456267836158,2016-02-23T22:50:36.158Z,5.97586410528,0.24
1456267836479,2016-02-23T22:50:36.479Z,3.77198158101,0.23
1456267836922,2016-02-23T22:50:36.922Z,2.0148479696,0
1456267837151,2016-02-23T22:50:37.151Z,5.97586410528,0.24
1456267837444,2016-02-23T22:50:37.444Z,3.93291864217,0.25
1456267837915,2016-02-23T22:50:37.915Z,2.59024177338,0.24
1456267838133,2016-02-23T22:50:38.133Z,5.20400840738,0.24
